ENSG,logFC,logCPM,PValue,FDR
ENSG00000185686.18,11.10578585695127,12.40256483466603,5.2433865216892424e-9,3.4291747851847646e-6
ENSG00000133454.16,8.517490113026227,9.904673832651593,1.1469315905760443e-8,3.7504663011836647e-6
ENSG00000211677.2,11.084369883156228,12.382342741070824,5.950078971733716e-8,1.2971172158379502e-5
ENSG00000280623.1,9.316181265567476,10.66606953745525,1.1983416033360463e-7,1.9592885214544358e-5
ENSG00000211666.2,9.212263276285851,10.571262018899333,1.0512246014594146e-6,1.3750017787089145e-4
ENSG00000093009.11,6.313044460452964,10.815549442334508,2.3835096578061843e-6,2.5980255270087406e-4
ENSG00000100065.15,4.194651672693912,9.896620512134524,1.7224005997779025e-5,0.0016092142746496404
ENSG00000075218.19,5.276553276685309,10.233130857917233,2.4081977523765924e-5,0.0019687016625678645
ENSG00000183765.23,3.9192776781151215,10.16462565382764,2.9317791016460382e-5,0.0019872713755795593
ENSG00000100351.17,5.631110225318788,9.131498621406529,3.0386412470635463e-5,0.0019872713755795593
ENSG00000234965.2,-7.237422086160703,8.808142977172581,3.8414949679097753e-5,0.0022839433718299935
ENSG00000211679.2,6.734844336556365,8.390024235783681,5.4786971920517355e-5,0.0029827228936955457
ENSG00000169548.3,5.639525916828333,7.584488268941222,5.928959880434571e-5,0.0029827228936955457
ENSG00000130487.9,5.520938611166929,7.512455704227667,9.660479193531856e-5,0.0038979215627283617
ENSG00000130540.14,-5.587766595597805,11.817932011813213,9.848367602770651e-5,0.0038979215627283617
ENSG00000179750.16,5.067526169069213,8.11901145562446,9.887269675905292e-5,0.0038979215627283617
ENSG00000075275.18,4.9556218987000005,10.84082740268267,1.013221201320828e-4,0.0038979215627283617
ENSG00000206195.11,4.728162560158101,9.778827564587399,1.1617896191936855e-4,0.0041571963715558305
ENSG00000212939.2,7.889857434608301,9.244198714560314,1.20774818133885e-4,0.0041571963715558305
ENSG00000128342.5,4.946876070721771,10.170128184512688,1.385467657309537e-4,0.004530479239402187
ENSG00000186732.14,-5.635509710443995,10.689024848394123,1.7114255262344404e-4,0.005329868067415829
ENSG00000008735.14,-5.20152235108395,12.425846205784058,1.8553120579750117e-4,0.00551533675416208
ENSG00000100427.16,-4.782127289874675,11.830554288798899,2.2483722980618618e-4,0.0063931977518802505
ENSG00000100079.7,5.887142040241538,7.735814949272728,3.798023414246314e-4,0.009783317557500665
ENSG00000100285.10,-3.341363496153414,11.514135340913619,3.844750880919489e-4,0.009783317557500665
ENSG00000100368.14,3.6610385030979953,9.073806648810859,3.889392301147053e-4,0.009783317557500665
ENSG00000273289.1,-5.070154566284042,7.264164479877535,4.36946739267975e-4,0.010583821017824282
ENSG00000225465.10,-4.661519189526698,10.815746322860724,4.5426778397141725e-4,0.010610397525618103
ENSG00000100167.20,-4.334297981038262,13.22441738152114,4.8193326221663814e-4,0.010868425982402806
ENSG00000184058.15,3.615785147776489,7.6710309565500845,5.165715939178554e-4,0.011137998480684145
ENSG00000235111.1,4.050562736508108,7.892623926826812,5.279479402159151e-4,0.011137998480684145
ENSG00000233080.3,4.939739883713501,7.1828137831754315,5.983296931887796e-4,0.012228363104545682
ENSG00000244509.4,3.70323357830564,9.32483510507173,6.367112833340453e-4,0.012618459978801988
ENSG00000100342.21,3.175235173216041,9.763226164006483,7.014890711304666e-4,0.013493348603509562
ENSG00000175329.13,5.262247892037284,7.410231805166141,7.674789862844445e-4,0.013957564728582068
ENSG00000231933.7,6.41605326052694,8.001388413391759,8.078107990244379e-4,0.013957564728582068
ENSG00000198125.13,3.361467008748582,7.436291090191367,8.112177164555506e-4,0.013957564728582068
ENSG00000205704.7,-4.944422965823695,8.442426823105329,8.382577966571766e-4,0.013957564728582068
ENSG00000100162.15,4.344701390050825,9.020900920703783,8.526255374608105e-4,0.013957564728582068
ENSG00000100095.19,-4.691253912790994,12.36330819976519,8.724682850136909e-4,0.013957564728582068
ENSG00000273032.3,-3.63829881010214,11.484850601284942,8.750155257979584e-4,0.013957564728582068
ENSG00000211685.3,4.81923388862028,7.145892632845175,8.986209155543293e-4,0.013992811399345984
ENSG00000278817.1,-3.3528923718372856,7.802931610320281,9.378105524087797e-4,0.014263444215705627
ENSG00000073150.14,-3.2333309083139796,9.825075800180615,0.0011002578525775122,0.016353832626947565
ENSG00000133477.17,4.013977922963054,8.288712731395954,0.0011943078859309527,0.017357274608863178
ENSG00000167037.19,-4.251447536839913,11.016667027811115,0.001249490013448003,0.017753793003879165
ENSG00000168135.4,-5.0865821599457774,9.627768858337959,0.0012758842067007964,0.017753793003879165
ENSG00000224404.2,-3.9342246598653277,7.719622710729114,0.0013721724726236137,0.018695849939496738
ENSG00000282816.1,-6.347909198941603,8.02916534723734,0.0016453661018639466,0.021906174272455375
ENSG00000225783.8,-3.8789891185937577,12.492722761109091,0.0016747839657840502,0.021906174272455375
ENSG00000215270.3,5.7335325547956275,7.597591085620969,0.0018231523797195266,0.023379248163462166
ENSG00000284874.1,-3.914966089832549,7.611571635846205,0.002000845235899069,0.0248689438684476
ENSG00000100321.15,-4.2540092957168225,13.321822225729171,0.0020153731269537045,0.0248689438684476
ENSG00000251322.9,-3.7650574419596943,12.337492324285497,0.0022402854545608528,0.02713234606079255
ENSG00000236754.5,-4.620066062435883,9.084758873111719,0.0023707876164629368,0.028190820021213828
ENSG00000235237.1,6.597378849504084,8.130723262637567,0.0025428606010305253,0.029696979162035064
ENSG00000268812.3,6.0126982652891625,7.71766721976462,0.0026749809738637683,0.030691886963279024
ENSG00000128268.12,-3.716645429619891,11.79149704648375,0.002792611284598457,0.03148909965736881
ENSG00000224192.2,-5.2421196421200005,7.381542911773344,0.002872557970563393,0.031553887638058345
ENSG00000128266.9,-3.5309531741292473,11.541852749930646,0.0028948520768860863,0.031553887638058345
ENSG00000200985.1,5.1829381107106425,7.335936745844389,0.002972251098702982,0.03186642981232377
ENSG00000100307.13,-3.7124700145754557,11.627953805916668,0.003226163078504222,0.03403081698938325
ENSG00000272872.1,3.290685530236534,7.91235091485907,0.00349032216544813,0.035812669611735855
ENSG00000100298.16,-5.059711190841723,7.291173788544667,0.003554938955633616,0.035812669611735855
ENSG00000188511.12,2.829993491529594,8.618387261191206,0.00355936318771075,0.035812669611735855
ENSG00000183628.14,-3.206315462429562,7.2293200471786285,0.003677958841701242,0.0364452285223123
ENSG00000184113.9,-4.250379781464324,9.885321759823034,0.0037527407116586028,0.03663123023021979
ENSG00000099953.10,3.063062006904241,8.543269576817528,0.0038989100394373464,0.03711325550350647
ENSG00000183822.3,5.72608863211673,7.535894202851599,0.003915618699911233,0.03711325550350647
ENSG00000128165.9,3.6431975011662954,8.278031868056289,0.003988749362755626,0.037266315474888276
ENSG00000225413.2,5.531559552845641,7.446489957445731,0.004181946303076905,0.03810735122637446
ENSG00000182902.14,-2.988787913549215,10.549260110352845,0.004195304722169665,0.03810735122637446
ENSG00000219438.9,-3.426913164860281,10.913690298445715,0.004295740730908425,0.038454375356787404
